Year,Borough,CapRate,NYCcr
2013.48,QNcr,5.08,6.0725
2013.48,MNcr,6.69,6.0725
2013.48,BXcr,6.96,6.0725
2013.48,BKcr,5.56,6.0725
2013.75,QNcr,5.03,5.9275
2013.75,MNcr,6.52,5.9275
2013.75,BXcr,6.78,5.9275
2013.75,BKcr,5.38,5.9275
2012.28,QNcr,5.03,5.9275
2012.28,MNcr,6.52,5.9275
2012.28,BXcr,6.78,5.9275
2012.28,BKcr,5.38,5.9275
2013.8,QNcr,5.03,5.9275
2013.8,MNcr,6.52,5.9275
2013.8,BXcr,6.78,5.9275
2013.8,BKcr,5.38,5.9275
2013.71,QNcr,5.03,5.9275
2013.71,MNcr,6.52,5.9275
2013.71,BXcr,6.78,5.9275
2013.71,BKcr,5.38,5.9275
2013.96,QNcr,5.01,5.775
2013.96,MNcr,6.32,5.775
2013.96,BXcr,6.6,5.775
2013.96,BKcr,5.17,5.775
2012.46,QNcr,5.01,5.775
2012.46,MNcr,6.32,5.775
2012.46,BXcr,6.6,5.775
2012.46,BKcr,5.17,5.775
2013.98,QNcr,5.01,5.775
2013.98,MNcr,6.32,5.775
2013.98,BXcr,6.6,5.775
2013.98,BKcr,5.17,5.775
2013.94,QNcr,5.01,5.775
2013.94,MNcr,6.32,5.775
2013.94,BXcr,6.6,5.775
2013.94,BKcr,5.17,5.775
2014.13,QNcr,5.01,5.625
2014.13,MNcr,6.1,5.625
2014.13,BXcr,6.41,5.625
2014.13,BKcr,4.98,5.625
2012.61,QNcr,5.01,5.625
2012.61,MNcr,6.1,5.625
2012.61,BXcr,6.41,5.625
2012.61,BKcr,4.98,5.625
2014.17,QNcr,5.01,5.625
2014.17,MNcr,6.1,5.625
2014.17,BXcr,6.41,5.625
2014.17,BKcr,4.98,5.625
2014.16,QNcr,5.01,5.625
2014.16,MNcr,6.1,5.625
2014.16,BXcr,6.41,5.625
2014.16,BKcr,4.98,5.625
2014.31,QNcr,4.98,5.485
2014.31,MNcr,5.89,5.485
2014.31,BXcr,6.23,5.485
2014.31,BKcr,4.84,5.485
2012.73,QNcr,4.98,5.485
2012.73,MNcr,5.89,5.485
2012.73,BXcr,6.23,5.485
2012.73,BKcr,4.84,5.485
2014.36,QNcr,4.98,5.485
2014.36,MNcr,5.89,5.485
2014.36,BXcr,6.23,5.485
2014.36,BKcr,4.84,5.485
2014.39,QNcr,4.98,5.485
2014.39,MNcr,5.89,5.485
2014.39,BXcr,6.23,5.485
2014.39,BKcr,4.84,5.485
2014.53,QNcr,4.92,5.3475
2014.53,MNcr,5.72,5.3475
2014.53,BXcr,6.06,5.3475
2014.53,BKcr,4.69,5.3475
2012.86,QNcr,4.92,5.3475
2012.86,MNcr,5.72,5.3475
2012.86,BXcr,6.06,5.3475
2012.86,BKcr,4.69,5.3475
2014.58,QNcr,4.92,5.3475
2014.58,MNcr,5.72,5.3475
2014.58,BXcr,6.06,5.3475
2014.58,BKcr,4.69,5.3475
2014.61,QNcr,4.92,5.3475
2014.61,MNcr,5.72,5.3475
2014.61,BXcr,6.06,5.3475
2014.61,BKcr,4.69,5.3475
2014.76,QNcr,4.83,5.215
2014.76,MNcr,5.54,5.215
